sample_idx,unix_t,offset_s,gpu_power_watts
530,1783740738.6164927,10.6804,178.196
531,1783740738.6366353,10.7006,178.196
532,1783740738.6567867,10.7207,178.196
533,1783740738.676932,10.7409,178.196
534,1783740738.6970727,10.7610,178.196
535,1783740738.7172124,10.7812,177.944
536,1783740738.7373617,10.8013,177.944
537,1783740738.757508,10.8215,177.944
538,1783740738.7776535,10.8416,177.944
539,1783740738.797794,10.8617,177.944
540,1783740738.817908,10.8819,178.047
541,1783740738.8380504,10.9020,178.047
542,1783740738.8581884,10.9221,178.047
543,1783740738.878325,10.9423,178.047
544,1783740738.8984613,10.9624,178.047
545,1783740738.9186025,10.9826,178.157
546,1783740738.9387803,11.0027,178.157
547,1783740738.9589179,11.0229,178.157
548,1783740738.9791036,11.0431,178.157
549,1783740738.999248,11.0632,177.189
550,1783740739.0193908,11.0833,177.189
551,1783740739.0395284,11.1035,177.189
552,1783740739.0596714,11.1236,177.189
553,1783740739.0798242,11.1438,177.189
554,1783740739.0999649,11.1639,177.768
555,1783740739.1200995,11.1841,177.768
556,1783740739.1402447,11.2042,177.768
557,1783740739.1603966,11.2244,177.768
558,1783740739.1805198,11.2445,177.768
559,1783740739.20063,11.2646,177.466
560,1783740739.220756,11.2847,177.466
561,1783740739.2408845,11.3048,177.466
562,1783740739.2610278,11.3250,177.466
563,1783740739.2811632,11.3451,177.466
564,1783740739.301302,11.3653,177.255
565,1783740739.3214417,11.3854,177.255
566,1783740739.3415976,11.4056,177.255
567,1783740739.3617702,11.4257,177.255
568,1783740739.3819084,11.4459,177.255
569,1783740739.402049,11.4660,177.04
570,1783740739.4221718,11.4861,177.04
571,1783740739.4422636,11.5062,177.04
572,1783740739.4623482,11.5263,177.04
573,1783740739.4824731,11.5464,177.04
574,1783740739.5026312,11.5666,177.207
575,1783740739.522774,11.5867,177.207
576,1783740739.5429106,11.6069,177.207
577,1783740739.5630472,11.6270,177.207
578,1783740739.5831966,11.6472,177.207
579,1783740739.603336,11.6673,177.419
580,1783740739.623468,11.6874,177.419
581,1783740739.643609,11.7076,177.419
582,1783740739.6637619,11.7277,177.419
583,1783740739.6839015,11.7479,177.419
584,1783740739.70404,11.7680,174.018
585,1783740739.7241812,11.7881,174.018
586,1783740739.7443235,11.8083,174.018
587,1783740739.7644632,11.8284,174.018
588,1783740739.7846038,11.8486,174.018
589,1783740739.8047857,11.8687,165.657
590,1783740739.824929,11.8889,165.657
591,1783740739.8451018,11.9091,165.657
592,1783740739.86524,11.9292,165.657
593,1783740739.8853996,11.9494,165.657
594,1783740739.9055452,11.9695,158.167
595,1783740739.9256938,11.9896,158.167
596,1783740739.9459097,12.0099,158.167
597,1783740739.9660459,12.0300,158.167
598,1783740739.986187,12.0501,158.167
599,1783740740.0063186,12.0703,150.56
