sample_idx,unix_t,iso_approx_note,luxi_gpu_power_watts,luxi_gpu_power_samples,luxi_gpu_count,luxi_energy_joules_total,completed_ok_if_present
72,1783735293.6316636,offset_s=720.2,63.6,1385.0,1.0,6648117.679997725,
73,1783735303.6342585,offset_s=730.2,63.57,1403.0,1.0,6739770.71999769,
74,1783735313.6375961,offset_s=740.2,63.68,1422.0,1.0,6831048.719997656,
75,1783735323.6394637,offset_s=750.2,63.61,1440.0,1.0,6921809.91999762,
76,1783735333.6424778,offset_s=760.2,63.58,1459.0,1.0,7012952.319997585,
77,1783735343.644547,offset_s=770.2,63.6,1478.0,1.0,7104430.399997551,
78,1783735353.6459146,offset_s=780.2,63.61,1496.0,1.0,7196109.999997515,
79,1783735363.6505506,offset_s=790.2,63.62,1515.0,1.0,7287697.59999748,
80,1783735373.6522853,offset_s=800.2,63.66,1534.0,1.0,7379008.799997444,
81,1783735383.65649,offset_s=810.2,63.67,1552.0,1.0,7470474.319997409,
82,1783735393.659367,offset_s=820.2,63.79,1571.0,1.0,7561796.879997375,
83,1783735403.6629436,offset_s=830.2,64.04,1590.0,1.0,7653192.239997339,
84,1783735413.6667752,offset_s=840.2,64.12,1608.0,1.0,7744929.199997304,
85,1783735423.668141,offset_s=850.2,64.14,1627.0,1.0,7836543.359997269,
86,1783735433.6719816,offset_s=860.2,64.03,1646.0,1.0,7928183.599997234,
87,1783735443.673423,offset_s=870.2,64.07,1664.0,1.0,8019881.9199971985,
88,1783735453.6754253,offset_s=880.2,64.08,1683.0,1.0,8111289.599997163,
89,1783735463.6801727,offset_s=890.2,64.13,1701.0,1.0,8201721.039997128,
90,1783735473.6820018,offset_s=900.2,64.12,1720.0,1.0,8293160.959997092,
91,1783735483.6856072,offset_s=910.2,64.12,1739.0,1.0,8384134.5599970585,
92,1783735493.6885452,offset_s=920.2,64.13,1757.0,1.0,8475542.47999619,
93,1783735503.6921268,offset_s=930.2,64.13,1776.0,1.0,8566619.67999528,
